

fn-[read_pidns] buf : pid:[4026531836]  result: 16 
fn-[read_pidns] host_pidns: 4026531836 
 
TIME     EVENT COMM             PID     CPUUSAGE  MEMUSAGE
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:47 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:48 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:49 MINER kdevtmpfsi       7572    
15:38:49 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:49 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
15:38:50 MINER kdevtmpfsi       7572    
